player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Lonzo Ball,balllo01,2021,RS,NOP,660,324,-3.435662528669611,.3632754322575084,-3.072387096412103,.8139098140122069,.8222139717301242,1.636123785742331,-2.95749732695919,.4545966147276854,-2.502900712231505,.0409298327798001,.0409298327798001,0,-1.865549359703896,.8088134422166654,-1.056735917487231,.2076417039338629
Mo Bamba,bambamo01,2021,RS,ORL,69,33,3.256423609227677,-8.341633665245391,-5.085210056017713,-2.930366374891968,-9.522656748463293,-12.45302312335526,2.593474888658813,-8.877834072061697,-6.284359183402884,-.0599768417306444,-.0599768417306444,0,1.624566008186017,-9.630996292790609,-8.006430284604592,.8062212295538477
Desmond Bane,banede01,2021,RS,MEM,605,285,-.4171549422218561,-.7622299785908898,-1.179384920812746,4.009863321807033,5.000820585270009,9.010683907077041,.2325910858747994,.0186835337954714,.2512746196702708,.4361319767426415,.4361319767426415,0,1.858794274387641,-.3414679207774383,1.517326353610203,-.0641391665092807
Harrison Barnes,barneha02,2021,RS,SAC,1124,523,.8551857806384705,-.1779615039310009,.6772242767074697,-.1069729612960013,2.721530243815092,2.61455728251909,.7821955830260936,.302375294692421,1.084570877718515,1.026263363829327,1.026263363829327,0,-1.878687142100339,.1804883706129848,-1.698198771487355,.3058233134047145
RJ Barrett,barrerj01,2021,RS,NYK,1131,556,-1.245321551401846,-.7196675900329214,-1.964989141434768,1.679733113472427,6.540254740097134,8.21998785356956,-.7971390183285871,.3169466304705063,-.4801923878580808,.6417230490278509,.6417230490278509,0,.2882499452528474,.2823871434620261,.5706370887148735,-.3416135356652848
Will Barton,bartowi01,2021,RS,DEN,833,400,-1.283448217383524,-1.883404514745514,-3.166852732129038,-4.271042587735637,.8224112568961529,-3.448631330839484,-1.810519701397797,-1.55620143175268,-3.366721133150477,-.1256420914787505,-.1256420914787505,0,-2.870240916027558,-1.574705961210316,-4.444946877237874,-.1769983345371969
Keita Bates-Diop,bateske01,2021,RS,SAS,5,2,-17.45341418117451,3.484848358886577,-13.96856582228793,-31.36395155876131,-30.62048377262187,-61.98443533138318,-20.20946104613583,-1.407744374510454,-21.61720542064629,-.0188090867659751,-.0188090867659751,0,-12.45492141948396,-6.01829873443739,-18.47322015392135,-2.347608893584215
Nicolas Batum,batumni01,2021,RS,LAC,863,421,2.605229241067854,3.600947439565712,6.206176680633567,6.149230121292434,2.334701112768849,8.483931234061284,3.213504834821101,3.56451181691127,6.778016651732371,2.038801602269788,2.038801602269788,0,2.35628279900181,4.100903094426452,6.457185893428262,-.3868917658168397
Aron Baynes,baynear01,2021,RS,TOR,361,172,-7.101287502359096,3.959677386727682,-3.141610115631414,-6.651754993321917,-.7596366101621332,-7.41139160348405,-7.361440305370374,3.425409405657478,-3.936030899712896,-.1046864051502862,-.1046864051502862,0,-7.094000093071323,1.282725899592094,-5.811274193479229,.5949721106267808
Kent Bazemore,bazemke01,2021,RS,GSW,410,190,-.9356200405733496,2.075020637377998,1.139400596804649,1.54831816660745,3.755541362701182,5.303859529308632,-.6008796154316122,2.408069653521406,1.807190038089793,.4420183724220423,.4420183724220423,0,-2.606581521365465,4.260200454791397,1.653618933425932,.0585397444939155
