player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Daniel Theis,theisda01,2019,RS,BOS,1945,908,-1.223275861,-0.645873914,-1.869149775,-0.030747811,2.60023726,2.569489449,-1.053186091,-0.081644282,-1.134830373,0.748748757,0.748748757,0,-1.560275583,0.541107195,-1.019168388,0.068468091
Daniel Theis,theisda01,2020,PO,BOS,969,482,-1.388092488,2.118733124,0.7306406358,-1.800987004,0.4768514253,-1.324135579,-1.64117705,1.782949661,0.1417726102,0.7307445615,0,0.7307445615,-0.2218548939,2.910178377,2.688323483,-0.3644595258
Daniel Theis,theisda01,2020,RS,BOS,3264,1566,-0.619554765,2.14469572,1.525140955,-0.3275313334,1.417233837,1.089702504,-0.6411613073,2.029363888,1.388202581,3.285570765,3.285570765,0,-0.6979392462,2.882276136,2.18433689,-0.640551293
Daniel Theis,theisda01,2021,RS,BOS,624,293,-2.499770135,3.360525385,0.8607552497,-4.358027161,-2.142153987,-6.500181148,-2.900341021,2.733173332,-0.1671676888,0.3860067812,0.3860067812,0,-2.267169234,2.621882067,0.3547128328,-0.02568473101
Danilo Gallinari,gallida01,2015,RS,DEN,2913,1426,2.973135729,-0.054006507,2.919129222,1.018585094,1.254560947,2.273146041,2.765614247,0.244970946,3.010585193,4.211029613,4.211029613,0,2.505368185,-0.124297156,2.381071029,0.456319269
Danilo Gallinari,gallida01,2016,RS,DEN,3726,1839,3.880945773,-0.935937825,2.945007948,-1.536205373,-0.796112228,-2.332317601,3.002871656,-0.935688235,2.067183421,4.510366211,4.510366211,0,2.397391688,-1.190940887,1.206450801,-0.20307584
Danilo Gallinari,gallida01,2017,RS,DEN,4413,2134,2.732136145,-0.731156563,2.000979582,1.758964609,0.401062829,2.160027438,2.637637805,-0.510733227,2.126904578,5.308113026,5.308113026,0,2.644325854,-1.432510399,1.211815455,-0.031382139
Danilo Gallinari,gallida01,2018,RS,LAC,1369,671,1.160168608,2.354316505,3.514485113,-2.597301609,2.313891414,-0.283410195,0.427797459,2.505966486,2.933763945,1.941857244,1.941857244,0,1.378807413,1.727051375,3.105858788,-0.201184932
Danilo Gallinari,gallida01,2019,PO,LAC,435,201,0.410966691,-2.111857135,-1.700890444,1.727140287,1.817768625,3.544908912,0.611330892,-1.320018366,-0.708687474,0.216052148,0,0.216052148,0.625286703,0.897321034,1.522607737,0.069199477
Danilo Gallinari,gallida01,2019,RS,LAC,4357,2059,4.583700622,0.702600184,5.286300806,3.724829431,-1.907701481,1.81712795,4.674588308,0.207893188,4.882481496,7.979861641,7.979861641,0,4.375342313,0.286088339,4.661430652,-0.483945576
Danilo Gallinari,gallida01,2020,PO,OKC,455,212,-0.9172069234,1.070252387,0.1530454636,-0.6622228238,-10.89418976,-11.55641258,-0.8184140692,-1.373193677,-2.191607746,0.06323991288,0,0.06323991288,-2.63497322,-3.595557934,-6.230531155,1.512969923
Danilo Gallinari,gallida01,2020,RS,OKC,3790,1834,3.471046319,0.04827498789,3.519321307,6.382052965,-5.034725949,1.347327016,4.295413101,-1.054543781,3.24086932,5.569332554,5.569332554,0,3.788954398,-0.8809231465,2.908031251,-0.66235751
Danilo Gallinari,gallida01,2021,RS,ATL,63,28,0.6518637836,1.482372628,2.134236412,22.30631911,7.73443327,30.04075238,3.790057334,2.386314964,6.176372298,0.1262105643,0.1262105643,0,0.439880756,-0.3868010303,0.05307972575,-1.04648122
Danny Granger,grangda01,2014,RS,IND,1319,653,-1.847315976,0.481954623,-1.365361353,-3.549874121,6.267502075,2.717627954,-2.297993893,1.654008357,-0.643985536,0.706506939,0.706506939,0,-2.948824023,0.517554602,-2.431269421,0.665172079
Danny Granger,grangda01,2014,PO,LAC,274,134,-3.53275355,0.591931264,-2.940822286,-0.448903535,7.003497716,6.554594181,-3.224849709,1.979685712,-1.245163998,0.106944766,0,0.106944766,-1.942133099,1.592153028,-0.349980071,0.732577706
Danny Granger,grangda01,2014,RS,LAC,395,194,-0.728530047,-1.88827805,-2.616808098,-3.868997153,-3.351185556,-7.220182709,-1.531007661,-2.358030009,-3.889037669,-0.11347736,-0.11347736,0,-1.58879561,-2.510551164,-4.099346774,0.626820197
Danny Granger,grangda01,2015,RS,MIA,1158,613,-2.222965057,-3.227511682,-5.450476739,-2.879737542,-2.966339536,-5.846077078,-2.494081188,-3.345932579,-5.840013767,-0.960002441,-0.960002441,0,-2.054115138,-2.90963987,-4.963755008,-0.63579087
Danny Green,greenda02,2014,PO,SAS,1044,529,3.052777581,2.90929482,5.962072402,1.818579377,5.344371133,7.16295051,2.941783494,3.493006989,6.434790483,2.579386518,0,2.579386518,1.321619099,5.174100113,6.495719212,0.824361119
Danny Green,greenda02,2014,RS,SAS,3344,1651,1.049426186,3.561881921,4.611308107,-0.966257204,4.971643943,4.005386739,0.663702248,4.010551048,4.674253295,6.286172847,6.286172847,0,1.000560261,3.929764103,4.930324365,0.4973213
Danny Green,greenda02,2015,PO,SAS,403,204,0.037922246,5.786902266,5.824824512,11.06636451,2.964217631,14.03058214,2.328385031,5.509033586,7.837418616,1.132210831,0,1.132210831,1.300492549,7.53363306,8.834125609,-0.36453328
Danny Green,greenda02,2015,RS,SAS,4598,2312,2.635342198,3.14595984,5.781302038,4.132755989,1.667271372,5.800027361,3.081529613,2.974169774,6.055699387,10.40589127,10.40589127,0,3.053734484,3.763306402,6.817040886,0.173963295
Danny Green,greenda02,2016,PO,SAS,522,267,2.887674277,9.314583137,12.20225741,8.325297348,3.50228045,11.8275778,4.200775117,8.563409714,12.76418483,2.177691364,0,2.177691364,2.523828264,10.26989342,12.79372169,-0.086400264
Danny Green,greenda02,2016,RS,SAS,4076,2062,-0.286369838,2.327420225,2.041050386,2.062462965,1.784013234,3.846476199,0.160159978,2.248986683,2.409146661,5.399824301,5.399824301,0,0.29067745,3.34309833,3.63377578,-0.499838277
Danny Green,greenda02,2017,PO,SAS,854,436,0.500848646,-0.350994782,0.149853864,-4.227290461,-2.390820394,-6.618110855,-0.533469048,-0.827723872,-1.361192921,0.317992412,0,0.317992412,0.170028093,-0.540761979,-0.370733886,-0.191633962
Danny Green,greenda02,2017,RS,SAS,3535,1807,-0.358370666,2.68740138,2.329030714,0.140735929,2.062234663,2.202970592,-0.304304135,2.640745646,2.336441511,4.669906232,4.669906232,0,-0.330643056,3.32523836,2.994595304,-0.406723395
Danny Green,greenda02,2018,PO,SAS,200,103,-5.471080868,4.404829401,-1.066251467,-7.831115217,-8.848551893,-16.67966711,-6.290751744,1.900677925,-4.390073819,-0.088040616,0,-0.088040616,-3.821957619,2.056720247,-1.765237372,-0.931720276
Danny Green,greenda02,2018,RS,SAS,3576,1791,-0.815168274,2.855506883,2.040338609,-0.676340632,1.543649703,0.867309071,-0.830682114,2.694389518,1.863707404,4.206550243,4.206550243,0,-0.532562954,3.2060561,2.673493146,-0.219031556
Danny Green,greenda02,2019,PO,TOR,1391,684,-0.521731834,0.938560261,0.416828427,4.272194967,-0.086796836,4.18539813,0.385206666,0.703591899,1.088798565,1.392869386,0,1.392869386,1.005560988,2.174947053,3.180508041,0.806320379
Danny Green,greenda02,2019,RS,TOR,4662,2216,1.824136151,1.347973686,3.172109837,8.46654322,2.579242936,11.04578616,3.295939337,1.651422743,4.947362081,8.712892064,8.712892064,0,2.986231536,2.438995611,5.425227147,0.119797937
Danny Green,greenda02,2020,PO,LAL,1050,525,1.169567527,1.170224012,2.339791539,8.950135861,1.839656317,10.78979218,2.825588634,1.310176337,4.135764971,1.882275854,0,1.882275854,0.1745708554,2.216701466,2.391272321,-1.041806944
Danny Green,greenda02,2020,RS,LAL,3609,1687,0.08432895357,2.827605891,2.911934844,1.629722282,-0.1094538103,1.520268471,0.3894436866,2.316267127,2.705710814,4.717740829,4.717740829,0,0.6928338951,3.561040604,4.253874499,0.477715714
Danny Green,greenda02,2021,RS,PHI,922,426,-0.7148189507,0.5818279495,-0.1329910012,-2.114751361,-3.290999819,-5.40575118,-0.9400628434,0.004675987425,-0.935386856,0.396572405,0.396572405,0,0.3735042639,0.7542404698,1.127744734,0.5626073795
Dante Cunningham,cunnida01,2014,RS,MIN,3341,1635,-1.140603978,0.489743646,-0.650860333,-2.488420193,-0.974221165,-3.462641358,-1.521634791,0.210000972,-1.311633819,1.182832861,1.182832861,0,-1.573397617,0.260911354,-1.312486263,-1.360490952
Dante Cunningham,cunnida01,2015,PO,NOP,151,75,6.181205541,3.956456997,10.13766254,13.67430753,-2.742962449,10.93134508,7.94176433,2.834254636,10.77601897,0.530063636,0,0.530063636,9.411733058,2.131563203,11.54329626,-0.676188296
